net,length_um
net1,2113.59
net12,1836.53
net2,1821.22
net11,1807.41
net10,1734.1
net14,1720.25
net9,1704.52
net8,1668.34
net15,1659.89
net7,1653.22
net16,1652.4
net6,1581.83
net18,1546.55
net5,1544.77
net19,1513.17
net4,1511.27
net20,1489.65
net21,1471.7
_018_,1457.22
net3,1447.75
_002_,1435.94
_006_,1385.03
net13,1384.85
_001_,1381.57
_010_,1375.04
_019_,1374.85
_013_,1369.25
_015_,1363.09
net17,1363.04
_004_,1362.53
_014_,1362.26
_017_,1356.42
_008_,1354.93
_005_,1345.17
_007_,1344.24
_011_,1341.35
_009_,1335.14
_003_,1332.9
_016_,1332.85
_000_,1324.5
_012_,1316.15
net25,433.46
net24,276.42
_038_,111.98
_044_,109.54
_020_,107.27
_032_,107.01
clknet_1_1__leaf_wb_clk_i,96.14
_024_,94.1
_050_,91.06
net23,83.51
_021_,80.52
net26,78.89
_028_,68.02
net22,64.57
_043_,62.21
clknet_1_0__leaf_wb_clk_i,61.06
_027_,60.68
_037_,58.02
wb_clk_i,57.03
_022_,42.44
clknet_0_wb_clk_i,39.2
_030_,38.13
_035_,37.01
_052_,33.7
_054_,33.65
_031_,31.97
_055_,29.12
io_out[11],25.11
io_out[12],25.11
io_out[13],25.11
io_out[14],25.11
io_out[15],25.11
io_out[16],25.11
io_out[17],25.11
io_out[18],25.11
io_out[19],25.11
io_out[9],25.11
io_out[10],25.06
_047_,21.57
io_out[0],21.19
io_out[1],21.19
io_out[3],21.19
io_out[4],21.19
io_out[6],21.19
io_out[7],21.19
io_out[2],21.14
io_out[5],21.14
io_out[8],21.14
net28,20.07
net29,20.07
net31,20.07
net32,20.07
net34,20.07
net35,20.07
net37,20.07
net38,20.07
net40,20.07
net41,20.07
net43,20.07
net44,20.07
net30,20.02
net33,20.02
net36,20.02
net39,20.02
net42,20.02
net27,20.02
_045_,19.14
_053_,18.72
wb_rst_i,18.63
_023_,16.85
_025_,15.12
_026_,15.12
_049_,13.49
_039_,12.42
_041_,10.18
_051_,10.13
_040_,9.57
_029_,9.01
_042_,8.45
_034_,8.4
_036_,7.28
_046_,5.6
_033_,5.04
_048_,1.68
